Standar,Butir Mutu,Soal Tilik
STANDAR KOMPETENSI LULUSAN,Tersedia dokumen dan link akun Treacher Study Dokumen Treacher Study,Apakah jumlah lulusan yang meresepon treacher study sudah memenuhi 20 % dari jumlah Alumni per- tahun ?
STANDAR KOMPETENSI LULUSAN,Tersedia dokumen dan link akun Treacher Study Dokumen Treacher Study,Apakah dilaksanakan rapat pengendalian hasil Treacher Study ?
STANDAR KOMPETENSI LULUSAN,Tersedia dokumen dan link akun Treacher Study Dokumen Treacher Study,Apakah ada peningkatan terhadap hasil Treacher Study dan dilakukan pelaporan setiap tahun melalui E- Treacher Study Kemendikbud ?
STANDAR KOMPETENSI LULUSAN,Waktu Tunggu Lulusan Bekerja ≤ 6 bulan,Apakah ada dokumen kebijakan tentang Waktu Tunggu Lulusan Bekerja ?
STANDAR KOMPETENSI LULUSAN,Waktu Tunggu Lulusan Bekerja ≤ 6 bulan,Apakah tersedia laporan tentang Waktu Tunggu Lulusan?
STANDAR KOMPETENSI LULUSAN,Waktu Tunggu Lulusan Bekerja ≤ 6 bulan,Apakah Waktu Lulusan sudah sesuai yaitu ≤6 bulan ?
STANDAR KOMPETENSI LULUSAN,Waktu Tunggu Lulusan Bekerja ≤ 6 bulan,Apakah dilaksanakan rapat pengendalian hasil Waktu Tunggu Lulusan ?
STANDAR KOMPETENSI LULUSAN,Waktu Tunggu Lulusan Bekerja ≤ 6 bulan,Apakah ada peningkatan terhadap Waktu Tunggu Lulusan ? (kalau ada berapa % peningkatan dari jumlah alumni)
STANDAR KOMPETENSI LULUSAN,Tersedia Dokumen TOEFL dan Brevet Mahasiswa,Apakah tersedia Kebijakan tentang TOEFL dan Brevet ?
STANDAR KOMPETENSI LULUSAN,Tersedia Dokumen TOEFL dan Brevet Mahasiswa,Apakah tersedia laporan tentang data nama alumni yang telah memiliki sertifikat Toefl? (dilengkapi dengan file sertifikat TOEFL dan Brevet per-tahun)
STANDAR KOMPETENSI LULUSAN,Tersedia Dokumen TOEFL dan Brevet Mahasiswa,Apakah semua Lulusan memiliki sertifikat TOEFL dan Brevet ?
STANDAR KOMPETENSI LULUSAN,Tersedia Dokumen TOEFL dan Brevet Mahasiswa,Apakah dilaksanakan rapat pengendalian hasil pelaksanaan TOEFL dan Brevet ?
STANDAR KOMPETENSI LULUSAN,Tersedia Dokumen TOEFL dan Brevet Mahasiswa,Apakah ada peningkatan terkait kegiatan TOEFL dan Brevet ? (jika ada kegiatan tambahan selain TOEFL dan Brevet)
STANDAR ISI PEMBELAJARAN,Tersedianya dokumen Kurikulum,"Apakah dokumen kurikulum mengacu pada SN DIKTI dan KKNI sesuai level, dimutakhirkan secara periodik dan berorientasi ke depan sesuai dengan visi, misi tujuan dan sasaran program studi ?"
STANDAR ISI PEMBELAJARAN,Tersedianya dokumen Kurikulum,"Apakah kurikulum program studi memiliki penciri sesuai dengan visi dan misi Universitas yatu technopreneur serta di susun secara berkesinambungan dan berimbang antara mata kuliah Perguruan Tinggi (PT) 15% , Fakultas 15% dan Program Studi 70% ?"
STANDAR ISI PEMBELAJARAN,Tersedianya dokumen Kurikulum,Apakah tersedia bukti sahih kurikulum di evaluasi setiap 4 s/d 5 tahun satu kali ?
STANDAR ISI PEMBELAJARAN,Tersedianya dokumen Kurikulum,Apakah dilaksanakan rapat pengendalian hasil evaluasi kurikulum ?
STANDAR ISI PEMBELAJARAN,Tersedianya dokumen Kurikulum,Apakah ada perubahan kurikulum dari yang sebelumnya ?
STANDAR ISI PEMBELAJARAN,"Tersedianya Materi Pembelajaran, keluasan dan Kedalaman materi Pembelajaran",Apakah materi pembelajaran mengacu pada capaian pembelajaran dan dituangkan dalam bahan kajian yang terstruktur dalam bentuk mata kuliah ?
STANDAR ISI PEMBELAJARAN,"Tersedianya Materi Pembelajaran, keluasan dan Kedalaman materi Pembelajaran",Apakah kedalam materi yang disampaikan mengacu pada pasal 9 Permenristekdikti nomor 3 tahun 2020 ?
STANDAR ISI PEMBELAJARAN,"Tersedianya Materi Pembelajaran, keluasan dan Kedalaman materi Pembelajaran","Apakah pengembangan materi program studi  berbasis integrasi dengan mengacu hal-hal berikut :

1.        Materi dikembangkan oleh dosen serumpun.
2.        Standar Kompetensi memuat ranah pengetahuan (Kognitif), dan atau tata nilai sikap (afektif) dan muatan praktis (Psikomotorik atau kentrampilan yang bisa diterapkan di standar kompetensi
3.        Kurikulum bersifat komprehensif, kompetitif, flaksibel, dan adaptif dalam mengdaptasi ilmu pengetahuan, teknologi dan seni.
4.        Kurikulum memuat pengembangan ilmu pengetahuan, teknologi seni yang mutakhir
"
STANDAR ISI PEMBELAJARAN,"Tersedianya Materi Pembelajaran, keluasan dan Kedalaman materi Pembelajaran",Apakah dilaksanakan rapat pengendalian hasil evaluasi materi pembelajaran ?
STANDAR ISI PEMBELAJARAN,"Tersedianya Materi Pembelajaran, keluasan dan Kedalaman materi Pembelajaran",Apakah ada peningkatan dari hasil evaluasi materi pembelajaran?
STANDAR ISI PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah tersedia dokumen sahih tentang kebijakan peninjauan kurikulum ?
STANDAR ISI PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah peninjauan kurikulum dilaksanakan setiap lima tahun sekali
STANDAR ISI PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah hasil evaluasi peninjauan kurikulum melibatkan pemangku kepentingan dan mengakomodasi perkembangan IPTEK
STANDAR ISI PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah dilaksanakan rapat pengendalian hasil evaluasi peninjauan kurikulum ?
STANDAR ISI PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah kurikulum terbaru sudah sesuai dengan kebutuhan stackholder ?
STANDAR PROSES PEMBELAJARAN,Tersedianya dokumen Karakteristik Metode Proses Pembelajaran,"Apakah Metode Proses Pembelajaran berupa :
1.        Kuliah
2.        Responsi dan tutorial
3.        Seminar
4.        Praktikum, praktik studio, praktik bengkel, praktik lapangan, praktik kerja.
5.        Penelitian, perancangan, atau pengembangan
6.        Pertukaran pelajar
7.        Magang
8.        Wirausaha; dan/atau
9.        Bentuk lain Pengabdian kepada Masyarakat.
"
STANDAR PROSES PEMBELAJARAN,Tersedianya dokumen Karakteristik Metode Proses Pembelajaran,Apakah memenuhi ke 9 macam metode di atas ?
STANDAR PROSES PEMBELAJARAN,Tersedianya dokumen Karakteristik Metode Proses Pembelajaran,Apakah tersedia bukti sahih kurikulum di evaluasi setiap 4 s/d 5 tahun satu kali ?
STANDAR PROSES PEMBELAJARAN,Tersedianya dokumen Karakteristik Metode Proses Pembelajaran,Apakah dilaksanakan rapat pengendalian hasil evaluasi kurikulum ?
STANDAR PROSES PEMBELAJARAN,Tersedianya dokumen Karakteristik Metode Proses Pembelajaran,Apakah ada perubahan kurikulum dari yang sebelumnya ?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Tentang keluasan dan Kedalaman Pembelajaran,Apakah keluasan materi pembelajaran merujuk ke capaian pembelajaran ?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Tentang keluasan dan Kedalaman Pembelajaran,Apakah kedalam materi yang disampaikan mengacu pada pasal 9 Permenristekdikti nomor 3 tahun 2020 ?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Tentang keluasan dan Kedalaman Pembelajaran,Apakah tersedia laporan evaluasi
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Tentang keluasan dan Kedalaman Pembelajaran,Apakah dilaksanakan rapat pengendalian hasil…..?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Tentang keluasan dan Kedalaman Pembelajaran,Apakah ada peningkatan………….?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah tersedia dokumen sahih tentang kebijakan peninjauan kurikulum ?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah peninjauan kurukulum dilaksanan setiap lima tahun sekali
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah hasil evaluasi peninjauan kurikulum sudah sesuai dengan capaian pembelajaran
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah dilaksanakan pengendalian hasil peninjauan kurikulum ?
STANDAR PROSES PEMBELAJARAN,Tersedianya Dokumen Peninjauan Kurikulum,Apakah kurikulum dilakukan revisian ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen penilaian pembelajaran,"Apakah nilai akhir mata kuliah terdiri dari nilai Ujian Tengah Semester (UTS), Ujian Akhir Semester (UAS), nilai pesensi dan tugas ?"
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen penilaian pembelajaran,Apakah nilai akhir di KHS dinyatakan dengan huruf mutu dan angka mutu sesuai dengan skala nilai di standar fakultas atau universitas ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen penilaian pembelajaran,Apakah tersedia bukti sahih evaluasi hasil evaluasi penilaian pembelajaran ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen penilaian pembelajaran,Apakah dilaksanakan rapat pengendalian hasil evaluasi penilaian pembelajaran ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen penilaian pembelajaran,Apakah ada perubahan kurikulum dari yang sebelumnya ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen nilai pembelajaran lulusan,"Apakah mahasiswa lulus diberikan predikat memuaskan, sangat memuaskan, dan pujian sesuai dengan standar fakultas/universitas ? (dicantumkan ditranskrip nilai)"
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen nilai pembelajaran lulusan,"Apakah rata – rata IPK lulusan minimal ≥ 2,30 ?"
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen nilai pembelajaran lulusan,Apakah persentase lulusan tepat waktu ≥ 50% ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen nilai pembelajaran lulusan,Apakah dilaksanakan rapat pengendalian hasil penilaian lulusan ?
STANDAR PENILAIAN PEMBELAJARAN,Tersedianya dokumen nilai pembelajaran lulusan,Apakah ada peningkatan rata – rata nilai pembelajaran lulusan ?
STANDAR DOSEN DAN TENAGA KEPENDIDIKAN ,Tersedianya,Apakah 
STANDAR SARANA DAN PRASARANA PEMBELAJARAN,Tersedianya dokumen Sarana dan Prasarana Pembelajaran,Apakah tersedia kartu pemeliharaan sarana dan prasarana ?
STANDAR SARANA DAN PRASARANA PEMBELAJARAN,Tersedianya dokumen Sarana dan Prasarana Pembelajaran,"Apakah sarana dan prasarana pembelajaran sebagaimana yang dimaksud pada pasal 33 paling sedikit terdiri:
1.        Perabot;
2.        Peralatan Pendidikan;
3.        Media Pendidikan;
4.        Buku, Buku Elektronik dan Repository
5.        Sarana teknologi informasi dan komunikasi
6.        Instrumentasi eksperimen;
7.        Sarana olaharaga;
8.        Sarana Berkesenian;
9.        Sarana Fasilitas Umum;
10.        Bahan habis pakai; dan
11.        Keamanan.
12.        Prasarana pembelajaran minimun yaitu terdiri dari lahan, ruang kelas, perpustakaan, laboratorium/studio/bengkel kerja unit/unit produksi, tempat olahraga, ruang untuk berkesenian, ruang unit kegiatan mahasiswa, ruang pimpinan perguruan tinggi, ruang dosen, ruang tata usaha,; dan fasilitas umum.
"
STANDAR SARANA DAN PRASARANA PEMBELAJARAN,Tersedianya dokumen Sarana dan Prasarana Pembelajaran,Apakah Sarana dan prasarana pembelajaran sudah sesuai dengan standar fakultas/universitas ?
STANDAR SARANA DAN PRASARANA PEMBELAJARAN,Tersedianya dokumen Sarana dan Prasarana Pembelajaran,Apakah dilaksanakan rapat pengendalian hasil evaluasi sarana dan prasarana pembelajaran?
STANDAR SARANA DAN PRASARANA PEMBELAJARAN,Tersedianya dokumen Sarana dan Prasarana Pembelajaran,Apakah ada peningkatan sarana dan prasarana?
STANDAR PENGELOLA PEMBELAJARAN,Tersedianya,Apakah
STANDAR PEMBIAYAAN PEMBELAJARAN,Tersedianya,Apakah
STANDAR HASIL PENELITIAN,Tersedianya Dokumen,Apakah 
STANDAR ISI PENELITIAN,Tersedianya Dokumen,Apakah 
STANDAR PROSES PENELITIAN,Tersedianya Dokumen,Apakah 
STANDAR PENILAIAN PENELITIAN,Tersedianya Dokumen,Apakah 
STANDAR SARANA DAN PRASARANA,Tersedianya Dokumen,Apakah 
STANDAR PENGELOLA PENELITIAN,Tersedianya Dokumen,Apakah 
STANDAR PENDANAAN DAN PEMBIAYAAN PENELITIAN,Tersedianya Dokumen,Apakah 
STANDAR HASIL PENGABDIAN KEPADA  MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR ISI PENGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR PROSES PENGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR PENILAIAN PENGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR PELAKSANAAN PENGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR SARANA DAN PRASARANA PENGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR PENGELOLA PENGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
STANDAR PENDANAAN DAN PEMBIAYAAN PEGABDIAN KEPADA MASYARAKAT,Tersedianya Dokumen Terkait,Apakah 
